mmsi,name,imo,lat,lon,sog,cog,nav_status,ship_type,destination,eta,dim_bow,dim_stern,timestamp
257911700,VIKABUEN,,64.86353,10.7543,0,360,7,,,,,,2026-03-30 01:18:42.275993617 +0000 UTC
257912800,AARNES,0,,,,,,79,FINNANGER,"{""Day"":1,""Hour"":1,""Minute"":1,""Month"":1}",5,10,
257920000,RONJA NAEROEYSUND,9906910,,,,,,30,FISHFARMS,"{""Day"":25,""Hour"":6,""Minute"":30,""Month"":2}",25,62,
257943000,WILSON ECO 2,,51.89488,4.44975,0,203.4,5,,,,,,2026-03-30 01:18:46.262749715 +0000 UTC
257956600,FOSNA GREGAR,,63.68787,8.75827,0,360,5,,,,,,2026-03-30 01:18:48.388242838 +0000 UTC
257964900,RS 131 - TBN,0,,,,,,51,,"{""Day"":0,""Hour"":24,""Minute"":60,""Month"":0}",8,6,
257976600,NOVA PIONER,,66.86874,13.59854,0,350.1,0,,,,,,2026-03-30 01:18:46.365944938 +0000 UTC
257992500,MAGNUS,,63.17084,8.61558,0,360,0,,,,,,2026-03-30 01:18:41.2596994 +0000 UTC
257996000,MARTIN H,,69.69053,19.74328,10.2,1.1,0,,,,,,2026-03-30 01:18:42.275035068 +0000 UTC
257998000,BODIL KNUTSEN,,72.24769,19.98377,0.9,226.7,0,,,,,,2026-03-30 01:18:48.391932019 +0000 UTC
257998700,HOLMSUND,,66.36899,12.62753,0.1,360,5,,,,,,2026-03-30 01:18:47.358243458 +0000 UTC
258001630,SKINNAROY,0,,,,,,60,DJUPTAREN,"{""Day"":0,""Hour"":0,""Minute"":0,""Month"":0}",7,6,
258001750,HOVEDOYA II,,59.89657,10.73313,0,220.8,0,,,,,,2026-03-30 01:18:46.558008294 +0000 UTC
258002060,NESVIK,,59.8206,5.26064,0,247.7,5,,,,,,2026-03-30 01:18:44.315671049 +0000 UTC
258007330,SYDNES,0,,,,,,90,,"{""Day"":0,""Hour"":24,""Minute"":60,""Month"":0}",10,5,
258008100,RINGAHAV,,60.64035,5.00641,0,11.9,8,,,,,,2026-03-30 01:18:47.354435608 +0000 UTC
258009500,FJORD VIKING,,66.65655,13.07736,0,50,0,,,,,,2026-03-30 01:18:49.436183319 +0000 UTC
258011160,HAUKOEY,,69.92987,20.95901,0,87.5,0,,,,,,2026-03-30 01:18:46.370059555 +0000 UTC
258011780,RODVENFJORD,,62.66429,7.50554,0.1,239.6,0,,,,,,2026-03-30 01:18:46.950048921 +0000 UTC
258013740,VIKINGBANK,,59.34054,5.30033,0,106.5,0,,,,,,2026-03-30 01:18:42.257466128 +0000 UTC
258017960,FOSNA NORD,,70.53981,23.55762,0,345.2,0,,,,,,2026-03-30 01:18:42.270503961 +0000 UTC
258018360,HAVSTEIN,,66.16666,12.55861,0,360,0,,,,,,2026-03-30 01:18:46.359834759 +0000 UTC
258018930,LAFJORD,9913262,,,,,,69,ABELNES-ANDABELOY,"{""Day"":23,""Hour"":2,""Minute"":0,""Month"":5}",18,12,
258022090,MARIT,,66.62778,13.29007,0,360,0,,,,,,2026-03-30 01:18:45.327618389 +0000 UTC
258027630,HAVBLOMST,,64.92169,11.32282,0,21.3,7,,,,,,2026-03-30 01:18:45.318037685 +0000 UTC
258028100,LEIKANGER,,61.21485,6.56649,0,285.1,5,,,,,,2026-03-30 01:18:44.323100401 +0000 UTC
258028180,SILDKOVTUVA,,66.08208,12.58492,0,211.4,5,,,,,,2026-03-30 01:18:49.429763291 +0000 UTC
258028380,GO VAKKER MARCIA,,59.20725,10.89433,0,316,0,,,,,,2026-03-30 01:18:47.029344643 +0000 UTC
258029800,NJORD,,68.41634,15.99242,0,273,5,,,,,,2026-03-30 01:18:44.306217394 +0000 UTC
258030530,KARIANNE,0,,,,,,30,,"{""Day"":0,""Hour"":0,""Minute"":0,""Month"":0}",4,11,
258030770,GAMNES,,70.4793,23.62912,0,131.2,8,,,,,,2026-03-30 01:18:41.256465854 +0000 UTC
